USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
720533,99999,2.01201E+11,290,19,33,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,0,******,30.15,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,280,14,22,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,0,******,30.16,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,250,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,-2,******,30.17,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,-4,******,30.18,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,60,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,0,******,30.2,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,110,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,1,******,30.23,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,80,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,5,******,30.24,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,5,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,9,******,30.27,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,130,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,5,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,140,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,7,******,30.29,******,***,***,*****,*****,*****,*****,**
